1,1,7,0,1,"Action::Action@3-3@.\Action.cpp",".\Action.cpp","Action::Action","Action::Action()",3,3
4,1,30,2,4,"Action::Action@5-8@.\Action.cpp",".\Action.cpp","Action::Action","Action::Action( const std :: string & name , const std :: string & type)",5,8
4,1,11,0,4,"Action::name@10-13@.\Action.cpp",".\Action.cpp","Action::name","Action::name() const",10,13
4,1,11,0,4,"Action::type@15-18@.\Action.cpp",".\Action.cpp","Action::type","Action::type() const",15,18
3,1,8,0,4,"Action::toString@20-23@.\Action.cpp",".\Action.cpp","Action::toString","Action::toString() const",20,23
1,1,7,0,1,"Animation::Animation@6-6@.\Animation.cpp",".\Animation.cpp","Animation::Animation","Animation::Animation()",6,6
4,1,31,2,4,"Animation::Animation@8-11@.\Animation.cpp",".\Animation.cpp","Animation::Animation","Animation::Animation( const std :: string & name , const sf :: Texture & texture)",8,11
11,1,132,4,11,"Animation::Animation@13-23@.\Animation.cpp",".\Animation.cpp","Animation::Animation","Animation::Animation( const std :: string & name , const sf :: Texture & texture , size_t frameCount , size_t speed)",13,23
7,1,51,0,11,"Animation::update@25-35@.\Animation.cpp",".\Animation.cpp","Animation::update","Animation::update()",25,35
4,1,11,0,6,"Animation::hasEnded@37-42@.\Animation.cpp",".\Animation.cpp","Animation::hasEnded","Animation::hasEnded() const",37,42
4,1,10,0,4,"Animation::getName@45-48@.\Animation.cpp",".\Animation.cpp","Animation::getName","Animation::getName()",45,48
4,1,10,0,4,"Animation::getSize@50-53@.\Animation.cpp",".\Animation.cpp","Animation::getSize","Animation::getSize()",50,53
4,1,10,0,4,"Animation::getSprite@55-58@.\Animation.cpp",".\Animation.cpp","Animation::getSprite","Animation::getSprite()",55,58
1,1,7,0,1,"Assets::Assets@20-20@.\Assets.cpp",".\Assets.cpp","Assets::Assets","Assets::Assets()",20,20
34,6,241,1,39,"Assets::loadFromFile@22-60@.\Assets.cpp",".\Assets.cpp","Assets::loadFromFile","Assets::loadFromFile( const std :: string & path)",22,60
13,2,83,2,16,"Assets::addTexture@62-77@.\Assets.cpp",".\Assets.cpp","Assets::addTexture","Assets::addTexture( const std :: string & name , const std :: string & path)",62,77
4,1,39,2,4,"Assets::addAnimation@79-82@.\Assets.cpp",".\Assets.cpp","Assets::addAnimation","Assets::addAnimation( const std :: string & name , const Animation & anim)",79,82
16,2,118,2,18,"Assets::addSound@84-101@.\Assets.cpp",".\Assets.cpp","Assets::addSound","Assets::addSound( const std :: string & name , const std :: string & path)",84,101
13,2,83,2,15,"Assets::addFont@103-117@.\Assets.cpp",".\Assets.cpp","Assets::addFont","Assets::addFont( const std :: string & name , const std :: string & path)",103,117
4,1,19,1,4,"Assets::getTexture@120-123@.\Assets.cpp",".\Assets.cpp","Assets::getTexture","Assets::getTexture( const std :: string & name)",120,123
4,1,19,1,4,"Assets::getAnimation@125-128@.\Assets.cpp",".\Assets.cpp","Assets::getAnimation","Assets::getAnimation( const std :: string & name)",125,128
4,1,19,1,4,"Assets::getSound@130-133@.\Assets.cpp",".\Assets.cpp","Assets::getSound","Assets::getSound( const std :: string & name)",130,133
4,1,19,1,4,"Assets::getFont@135-138@.\Assets.cpp",".\Assets.cpp","Assets::getFont","Assets::getFont( const std :: string & name)",135,138
1,1,5,0,1,"CTransform::CTransform@22-22@.\Components.h",".\Components.h","CTransform::CTransform","CTransform::CTransform()",22,22
3,1,14,1,3,"CTransform::CTransform@23-25@.\Components.h",".\Components.h","CTransform::CTransform","CTransform::CTransform( const Vec2 & p)",23,25
3,1,47,4,3,"CTransform::CTransform@26-28@.\Components.h",".\Components.h","CTransform::CTransform","CTransform::CTransform( const Vec2 & p , const Vec2 & vel , const Vec2 & sc , float a)",26,28
1,1,5,0,1,"CRaycast::CRaycast@37-37@.\Components.h",".\Components.h","CRaycast::CRaycast","CRaycast::CRaycast()",37,37
3,1,24,2,3,"CRaycast::CRaycast@38-40@.\Components.h",".\Components.h","CRaycast::CRaycast","CRaycast::CRaycast( const Vec2 & pA , const Vec2 & pB)",38,40
1,1,5,0,1,"CShape::CShape@48-48@.\Components.h",".\Components.h","CShape::CShape","CShape::CShape()",48,48
8,1,64,5,8,"CShape::CShape@49-56@.\Components.h",".\Components.h","CShape::CShape","CShape::CShape( float radius , size_t points , const sf :: Color & fill , const sf :: Color & outline , float thickness)",49,56
1,1,5,0,1,"CRectangle::CRectangle@64-64@.\Components.h",".\Components.h","CRectangle::CRectangle","CRectangle::CRectangle()",64,64
8,1,80,1,8,"CRectangle::CRectangle@65-72@.\Components.h",".\Components.h","CRectangle::CRectangle","CRectangle::CRectangle( Vec2 rectSize)",65,72
1,1,5,0,1,"CCollision::CCollision@80-80@.\Components.h",".\Components.h","CCollision::CCollision","CCollision::CCollision()",80,80
3,1,12,1,3,"CCollision::CCollision@81-83@.\Components.h",".\Components.h","CCollision::CCollision","CCollision::CCollision( float rad)",81,83
1,1,5,0,1,"CScore::CScore@92-92@.\Components.h",".\Components.h","CScore::CScore","CScore::CScore()",92,92
3,1,12,1,3,"CScore::CScore@93-95@.\Components.h",".\Components.h","CScore::CScore","CScore::CScore( int s)",93,95
1,1,5,0,1,"CBoundingBox::CBoundingBox@104-104@.\Components.h",".\Components.h","CBoundingBox::CBoundingBox","CBoundingBox::CBoundingBox()",104,104
3,1,29,1,3,"CBoundingBox::CBoundingBox@105-107@.\Components.h",".\Components.h","CBoundingBox::CBoundingBox","CBoundingBox::CBoundingBox( const Vec2 & s)",105,107
1,1,5,0,1,"CGravity::CGravity@115-115@.\Components.h",".\Components.h","CGravity::CGravity","CGravity::CGravity()",115,115
1,1,12,1,1,"CGravity::CGravity@116-116@.\Components.h",".\Components.h","CGravity::CGravity","CGravity::CGravity( float g)",116,116
1,1,5,0,1,"CLifespan::CLifespan@126-126@.\Components.h",".\Components.h","CLifespan::CLifespan","CLifespan::CLifespan()",126,126
3,1,17,1,3,"CLifespan::CLifespan@127-129@.\Components.h",".\Components.h","CLifespan::CLifespan","CLifespan::CLifespan( int tot)",127,129
1,1,5,0,1,"CInput::CInput@141-141@.\Components.h",".\Components.h","CInput::CInput","CInput::CInput()",141,141
1,1,5,0,1,"CAnimation::CAnimation@149-149@.\Components.h",".\Components.h","CAnimation::CAnimation","CAnimation::CAnimation()",149,149
1,1,22,2,1,"CAnimation::CAnimation@150-150@.\Components.h",".\Components.h","CAnimation::CAnimation","CAnimation::CAnimation( const Animation & a , bool r)",150,150
1,1,5,0,1,"CState::CState@158-158@.\Components.h",".\Components.h","CState::CState","CState::CState()",158,158
1,1,16,1,1,"CState::CState@159-159@.\Components.h",".\Components.h","CState::CState","CState::CState( const std :: string & s)",159,159
4,1,28,2,4,"Entity::Entity@7-10@.\Entity.cpp",".\Entity.cpp","Entity::Entity","Entity::Entity( const size_t & id , const std :: string & tag)",7,10
4,1,11,0,4,"Entity::isActive@12-15@.\Entity.cpp",".\Entity.cpp","Entity::isActive","Entity::isActive() const",12,15
4,1,11,0,4,"Entity::id@17-20@.\Entity.cpp",".\Entity.cpp","Entity::id","Entity::id() const",17,20
4,1,11,0,4,"Entity::tag@22-25@.\Entity.cpp",".\Entity.cpp","Entity::tag","Entity::tag() const",22,25
4,1,11,0,5,"Entity::destroy@28-32@.\Entity.cpp",".\Entity.cpp","Entity::destroy","Entity::destroy()",28,32
4,1,16,0,4,"Entity::hasComponent@40-43@.\Entity.h",".\Entity.h","Entity::hasComponent","Entity::hasComponent() const",40,43
7,1,45,1,7,"Entity::addComponent@46-52@.\Entity.h",".\Entity.h","Entity::addComponent","Entity::addComponent( TArgs && ... mArgs)",46,52
4,1,16,0,4,"Entity::getComponent@55-58@.\Entity.h",".\Entity.h","Entity::getComponent","Entity::getComponent()",55,58
4,1,17,0,4,"Entity::getComponent@61-64@.\Entity.h",".\Entity.h","Entity::getComponent","Entity::getComponent() const",61,64
4,1,18,0,4,"Entity::removeComponent@67-70@.\Entity.h",".\Entity.h","Entity::removeComponent","Entity::removeComponent() const",67,70
11,1,85,0,17,"EntityManager::EntityManager@9-25@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::EntityManager","EntityManager::EntityManager()",9,25
14,3,69,0,20,"EntityManager::update@27-46@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::update","EntityManager::update()",27,46
13,2,72,1,14,"EntityManager::removeDeadEntities@48-61@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::removeDeadEntities","EntityManager::removeDeadEntities( EntityVec & vec)",48,61
6,1,43,1,6,"EntityManager::addEntity@63-68@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::addEntity","EntityManager::addEntity( const std :: string & tag)",63,68
4,1,10,0,4,"EntityManager::getEntities@70-73@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::getEntities","EntityManager::getEntities()",70,73
4,1,19,1,4,"EntityManager::getEntities@75-78@.\EntityManager.cpp",".\EntityManager.cpp","EntityManager::getEntities","EntityManager::getEntities( const std :: string & tag)",75,78
38,7,319,1,42,"loadConfigFile@90-131@.\Game.cpp",".\Game.cpp","loadConfigFile","loadConfigFile( const std :: string & fileName)",90,131
4,1,11,0,4,"Game::Game@134-137@.\Game.cpp",".\Game.cpp","Game::Game","Game::Game()",134,137
4,1,43,2,4,"Game::registerAction@141-144@.\Game.cpp",".\Game.cpp","Game::registerAction","Game::registerAction( sf :: Keyboard :: Key keyCode , std :: string actionType)",141,144
4,1,11,0,4,"Game::getActionMap@146-149@.\Game.cpp",".\Game.cpp","Game::getActionMap","Game::getActionMap() const",146,149
41,11,235,1,43,"Game::doAction@151-193@.\Game.cpp",".\Game.cpp","Game::doAction","Game::doAction( const Action & action)",151,193
21,1,205,0,29,"Game::init@197-225@.\Game.cpp",".\Game.cpp","Game::init","Game::init()",197,225
4,1,13,1,4,"Game::setPaused@227-230@.\Game.cpp",".\Game.cpp","Game::setPaused","Game::setPaused( bool paused)",227,230
18,3,57,0,25,"Game::run@232-256@.\Game.cpp",".\Game.cpp","Game::run","Game::run()",232,256
20,3,200,0,31,"Game::sRender@258-288@.\Game.cpp",".\Game.cpp","Game::sRender","Game::sRender()",258,288
26,9,208,0,36,"Game::sUserInput@290-325@.\Game.cpp",".\Game.cpp","Game::sUserInput","Game::sUserInput()",290,325
41,12,557,0,59,"Game::sMovement@328-386@.\Game.cpp",".\Game.cpp","Game::sMovement","Game::sMovement()",328,386
15,1,174,0,20,"Game::spawnPlayer@389-408@.\Game.cpp",".\Game.cpp","Game::spawnPlayer","Game::spawnPlayer()",389,408
13,1,150,2,18,"Game::spawnBullet@410-427@.\Game.cpp",".\Game.cpp","Game::spawnBullet","Game::spawnBullet( const Vec2 & playerPos , const Vec2 & target)",410,427
15,1,181,0,24,"Game::spawnEnemy@429-452@.\Game.cpp",".\Game.cpp","Game::spawnEnemy","Game::spawnEnemy()",429,452
12,1,183,3,17,"Game::spawnSmallEnemies@454-470@.\Game.cpp",".\Game.cpp","Game::spawnSmallEnemies","Game::spawnSmallEnemies( const std :: shared_ptr<Entity> & parentEnemy , const Vec2 & vel , const float & angle)",454,470
25,7,127,0,41,"Game::sLifespan@472-512@.\Game.cpp",".\Game.cpp","Game::sLifespan","Game::sLifespan()",472,512
10,3,44,0,12,"Game::sEnemySpawner@514-525@.\Game.cpp",".\Game.cpp","Game::sEnemySpawner","Game::sEnemySpawner()",514,525
7,2,31,0,7,"Game::sCollision@600-606@.\Game.cpp",".\Game.cpp","Game::sCollision","Game::sCollision()",600,606
17,5,104,0,19,"Game::sAnimation@608-626@.\Game.cpp",".\Game.cpp","Game::sAnimation","Game::sAnimation()",608,626
4,1,18,1,4,"GameEngine::GameEngine@6-9@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::GameEngine","GameEngine::GameEngine( const std :: string & path)",6,9
7,1,58,1,9,"GameEngine::init@12-20@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::init","GameEngine::init( const std :: string & path)",12,20
4,1,13,0,5,"GameEngine::currentScene@22-26@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::currentScene","GameEngine::currentScene()",22,26
4,2,16,0,4,"GameEngine::isRunning@28-31@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::isRunning","GameEngine::isRunning()",28,31
4,1,10,0,4,"GameEngine::window@33-36@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::window","GameEngine::window()",33,36
4,1,11,0,4,"GameEngine::assets@38-41@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::assets","GameEngine::assets() const",38,41
4,1,10,0,4,"GameEngine::assets@43-46@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::assets","GameEngine::assets()",43,46
4,1,10,0,4,"GameEngine::deltaTime@48-51@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::deltaTime","GameEngine::deltaTime()",48,51
7,2,19,0,7,"GameEngine::run@53-59@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::run","GameEngine::run()",53,59
4,1,13,0,4,"GameEngine::quit@61-64@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::quit","GameEngine::quit()",61,64
17,7,148,0,25,"GameEngine::sUserInput@66-90@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::sUserInput","GameEngine::sUserInput()",66,90
11,3,75,3,12,"GameEngine::changeScene@92-103@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::changeScene","GameEngine::changeScene( const std :: string & sceneName , std :: shared_ptr<Scene> scene , bool endCurrentScene)",92,103
10,3,38,0,10,"GameEngine::deleteScene@105-114@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::deleteScene","GameEngine::deleteScene()",105,114
9,1,48,0,15,"GameEngine::update@116-130@.\GameEngine.cpp",".\GameEngine.cpp","GameEngine::update","GameEngine::update()",116,130
